t_ms i_pApF mV
46.3000000000029 -1.60378413310843 -75.403502894344
46.3999999999942 -1.63363397811831 -75.4034459388791
46.5 -1.68338371980144 -75.4033889834141
46.6000000000058 -1.61870899807993 -75.4033320279491
46.6999999999971 -1.63860889475318 -75.4032750724841
46.8000000000029 -1.60378413310843 -75.4032181170191
46.8999999999942 -1.66348382312819 -75.4031611615541
47 -1.59880910140667 -75.3979782142406
47.1000000000058 -1.6087590497433 -75.3979212265785
47.1999999999971 -1.65353387479156 -75.3978642389164
47.3000000000029 -1.72318362821483 -75.3978072512543
47.3999999999942 -1.64855895815669 -75.3977502635922
47.5 -1.65850890649332 -75.3976932759301
47.6000000000058 -1.67343377146482 -75.397636288268
47.6999999999971 -1.57393417303166 -75.3975793006059
47.8000000000029 -1.66845885482994 -75.3975223129438
47.8999999999942 -1.62368402978168 -75.3974653252817
48 -1.66348382312819 -75.3922794480307
48.1000000000058 -1.64358392645493 -75.3922224401162
48.1999999999971 -1.64358392645493 -75.3921654322016
48.3000000000029 -1.62865894641655 -75.392108424287
48.3999999999942 -1.64855895815669 -75.3920514163725
48.5 -1.61870899807993 -75.3919944084579
48.6000000000058 -1.59880910140667 -75.3919374005433
48.6999999999971 -1.64855895815669 -75.3918803926287
48.8000000000029 -1.61870899807993 -75.3918233847142
48.8999999999942 -1.61870899807993 -75.3917663767996
49 -1.56895925639679 -75.3865786565734
49.1000000000058 -1.68338371980144 -75.3865216394239
49.1999999999971 -1.59880910140667 -75.3864646222745
49.3000000000029 -1.61373408144505 -75.386407605125
49.3999999999942 -1.62865894641655 -75.3863505879756
49.5 -1.62368402978168 -75.3862935708262
49.6000000000058 -1.5938341847718 -75.3862365536767
49.6999999999971 -1.63860889475318 -75.3861795365273
49.8000000000029 -1.65850890649332 -75.3861225193779
49.8999999999942 -1.62865894641655 -75.3860655022284
50 -1.64855895815669 -75.3808769416299
50.1000000000058 -1.58388423643517 -75.3808199253939
50.1999999999971 -1.63860889475318 -75.3807629091579
50.3000000000029 -1.62368402978168 -75.3807058929219
50.3999999999942 -1.61870899807993 -75.380648876686
50.5 -1.58885915307004 -75.38059186045
50.6000000000058 -1.66845885482994 -75.380534844214
50.6999999999971 -1.58388423643517 -75.380477827978
50.8000000000029 -1.63860889475318 -75.380420811742
50.8999999999942 -1.67840880316657 -75.3803637955061
51 -1.5938341847718 -75.3751753180317
51.1000000000058 -1.62865894641655 -75.3751183120422
51.1999999999971 -1.6087590497433 -75.3750613060526
51.3000000000029 -1.61870899807993 -75.3750043000631
51.3999999999942 -1.66348382312819 -75.3749472940735
51.5 -1.66348382312819 -75.374890288084
51.6000000000058 -1.67343377146482 -75.3748332820944
51.6999999999971 -1.61373408144505 -75.3747762761049
51.8000000000029 -1.62368402978168 -75.3747192701153
51.8999999999942 -1.63860889475318 -75.3746622641258
52 -1.5938341847718 -75.3694747190773
